#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WELCOME_HEADER;Welcome to Crusader Kings II;Bienvenue à Crusader Kings II;Willkommen zu Crusader Kings II;;Bienvenido a Crusader Kings II;;;;;;;;;x
#CHRONICLE_FILL0008;The earth shook for three days in [Root.GetName], killing a hundred commoners and a noble scholar.;La terre a tremblé durant trois jours en [Root.GetName], tuant deux cents paysans et un prêtre.;Drei Tage lang bebte in [Root.GetName] die Erde, zweihundert Bauern und ein Priester kamen ums Leben.;;La tierra tembló durante tres días en [Root.GetName], matando doscientos campesinos y un sacerdote.;;;;;;;;x
#CHRONICLE_FILL0009;A river flooded parts of [Root.GetName] in the spring.;Un fleuve a inondé une partie de [Root.GetName] au printemps.;Ein Fluss trat im [Root.GetName] im Frühjahr über die Ufer.;;En primavera, un río inundó partes de [Root.GetName].;;;;;;;;x
#CHRONICLE_FILL00010;People in [Root.GetName] claimed to have seen two suns at the same time.;Des gens de [Root.GetName] disent avoir vu deux soleils en même temps.;Leute in [Root.GetName] behaupteten, gleichzeitig zwei Sonnen gesehen zu haben.;;Gente de [Root.GetName] clama haber visto dos soles al mismo tiempo.;;;;;;;;x
#CHRONICLE_FILL00011;A goat with three heads was born in [Root.GetName].;Une chèvre à trois têtes est née en [Root.GetName].;Eine dreiköpfige Ziege wurde in [Root.GetName] geboren.;;Ha nacido una cabra de tres cabezas en [Root.GetName].;;;;;;;;x
#CHRONICLE_FILL00012;Tens of thousands of crebain invaded [Root.GetName] just before the harvest, causing much damage to the farmers's fields.;Des dizaines de milliers de corbeaux ont envahi [Root.GetName] juste avant les récoltes, ce qui ravagea les champs.;Zehntausende von Krähen fielen unmittelbar vor der Ernte in [Root.GetName] ein und verursachten großen Schaden auf den Feldern der Bauern.;;Decenas de millares de cuervos invadieron [Root.GetName] justo antes de la cosecha, lo que causó un gran daño a los campos de los granjeros.;;;;;;;;x
#CHRONICLE_FILL00013;An uncommonly great number of children were born this year in [Root.GetName].;Un nombre étonnamment élevé d'enfants sont nés cette année en [Root.GetName].;In [Root.GetName] wurden dieses Jahr ungewöhnlich viele Kinder geboren.;;Un gran -y poco común- número de niños, ha nacido este año en [Root.GetName].;;;;;;;;x
#CHRONICLE_FILL00014;In [Root.GetName], the people celebrated the benevolent rule of [From.GetTitledFirstName].;En [Root.GetName], le peuple célèbre le règne du bienveillant [From.GetTitledFirstName].;In [Root.GetName] feierte das Volk die wohltätige und gütige Herrschaft von [From.GetTitledFirstName].;;En [Root.GetName], la gente celebra el benévolo gobierno de [From.GetTitledFirstName].;;;;;;;;x
#CHRONICLE_FILL00015;A star fell from the sky in [Root.GetName], killing three horses.;Une étoile est tombée du ciel en [Root.GetName] et tua trois corbeaux.;In [Root.GetName]  fiel ein Stern vom Himmel und tötete drei Kühe.;;Una estrella cayó del cielo en [Root.GetName], y mató tres vacas.;;;;;;;;x
CHRONICLE_DEATH_OF_LIEGE;[Root.GetTitledName], the [Root.GetLordLady] of [Player.GetTitledFirstNameWithNick], [From.GetDeathReason] on [GetDateText].;[Root.GetTitledName], le seigneur [Root.GetLordLady] de [Player.GetTitledFirstNameWithNick], [From.GetDeathReason] le [GetDateText].;[Root.GetTitledName], Lehnsherr(in) [Root.GetLordLady] von [Player.GetTitledFirstNameWithNick], ist am [GetDateText] an [From.GetDeathReason] gestorben. ;;[Root.GetTitledName], el señor feudal [Root.GetLordLady] de [Player.GetTitledFirstNameWithNick], [From.GetDeathReason] el [GetDateText].;;;;;;;;;x
CHRONICLE_DEATH_OF_SPOUSE;[Root.GetTitledFirstNameWithNick], the [Root.GetHusbandWife] of [Player.GetTitledName], [From.GetDeathReason] on [GetDateText].;[Root.GetTitledFirstNameWithNick], [Root.GetHusbandWife] de [Player.GetTitledName], [From.GetDeathReason] le [GetDateText].;[Root.GetTitledName], [Root.GetHusbandWife] von [Player.GetTitledFirstNameWithNick], ist am [GetDateText] an [From.GetDeathReason] gestorben. ;;[Root.GetTitledFirstNameWithNick], el [Root.GetHusbandWife] de [Player.GetTitledName], [From.GetDeathReason] el [GetDateText].;;;;;;;;;x
CHRONICLE_DEATH_OF_PARENT;[Root.GetTitledFirstNameWithNick], the [Root.GetFatherMother] of [Player.GetTitledName], [From.GetDeathReason] on [GetDateText].;[Root.GetTitledFirstNameWithNick], [Root.GetFatherMother] de [Player.GetTitledName], [From.GetDeathReason] le [GetDateText].;[Root.GetTitledName], [Root.GetFatherMother] von [Player.GetTitledFirstNameWithNick], ist am [GetDateText] an [From.GetDeathReason] gestorben. ;;[Root.GetTitledFirstNameWithNick], el [Root.GetFatherMother] de [Player.GetTitledName], [From.GetDeathReason] el [GetDateText].;;;;;;;;;x
CHRONICLE_DEATH_OF_HEIR;[Root.GetTitledFirstNameWithNick], the heir of [Player.GetTitledName], [From.GetDeathReason] on [GetDateText].;[Root.GetTitledFirstNameWithNick], héritier de [Player.GetTitledName], [From.GetDeathReason] le [GetDateText].;[Root.GetTitledName], der Erbe von [Player.GetTitledFirstNameWithNick], ist am [GetDateText] an [From.GetDeathReason] gestorben. ;;[Root.GetTitledFirstNameWithNick], el heredero de [Player.GetTitledName], [From.GetDeathReason] el [GetDateText].;;;;;;;;;x
CHRONICLE_DEATH_OF_RELIGION_HEAD;[Root.GetBestName], leader of all the [Root.Religion.GetName] race, [Root.GetDeathReason] on [GetDateText].;[Root.GetBestName], chef de tous les croyants de la religion [Root.Religion.GetName], [Root.GetDeathReason] le [GetDateText].;[Root.GetBestName], geistlicher Führer aller [Root.Religion.GetName] Gläubigen, ist am [GetDateText] an [Root.GetDeathReason] gestorben.;;[Root.GetBestName], líder de todos los fieles del [Root.Religion.GetName], [Root.GetDeathReason] el [GetDateText].;;;;;;;;;x
CHRONICLE_BIRTH_FATHER;[Root.GetFirstName], the firstborn [Root.GetSonDaughter], was born to [Root.Father.GetTitledName].;[Root.GetFirstName], [Root.GetSonDaughter] aîné de [Root.Father.GetTitledName].;Das erste Kind, [Root.GetFirstName], wurde [Root.Father.GetTitledName] geboren.;;[Root.GetFirstName], el primogénito [Root.GetSonDaughter], ha nacido para [Root.Father.GetTitledName].;;;;;;;;;x
CHRONICLE_BIRTH_MOTHER;[Root.GetFirstName], the firstborn [Root.GetSonDaughter], was born to [Root.Mother.GetTitledName].;[Root.GetFirstName], [Root.GetSonDaughter] aîné de [Root.Mother.GetTitledName].;Das erste Kind, [Root.GetFirstName], wurde [Root.Mother.GetTitledName] geboren.;;[Root.GetFirstName], el primogénito [Root.GetSonDaughter], ha nacido para [Root.Father.GetTitledName].;;;;;;;;;x
CHRONICLE_WAR_DECLARED_ATTACKER;[From.GetTitledName] went to war against [Prev.GetTitledName].;[From.GetTitledName] a fait la guerre à [Prev.GetTitledName].;[From.GetTitledName] zog gegen [Prev.GetTitledName] in den Krieg.;;[From.GetTitledName] ha ido a la guerra contra [Prev.GetTitledName].;;;;;;;;;x
CHRONICLE_WAR_DECLARED_DEFENDER;[Prev.PrimaryTitle.GetName] was attacked by the [From.Culture.GetName] realm of [From.PrimaryTitle.GetName], ruled by [From.GetTitledFirstNameWithNick].;Le [Prev.PrimaryTitle.GetName] a été attaqué par le royaume de [From.PrimaryTitle.GetName], de culture [From.Culture.GetName], dirigé par [From.GetTitledFirstNameWithNick].;Der [Prev.PrimaryTitle.GetName] wurde vom von [From.GetTitledFirstNameWithNick] regierten Reich des [From.Culture.GetName] angegriffen.;;El [Prev.PrimaryTitle.GetName] fue atacado por el reino [From.Culture.GetName] de [From.PrimaryTitle.GetName], gobernado por [From.GetTitledFirstNameWithNick].;;;;;;;;;x
#CHRONICLE_JOINED_ALLY_IN_WAR;[Root.GetTitledName] supported [From.GetTitledName] in war against [From.GetHerHis] enemies.;[Root.GetTitledName] a soutenu [From.GetTitledName] dans la guerre contre ses ennemis.;[Root.GetTitledName] unterstützte [From.GetTitledName] im Krieg gegen [From.GetHerHis] Feinde.;;[Root.GetTitledName] apoyó a [From.GetTitledName] en la guerra contra [From.GetHerHis] enemigos.;;;;;;;;;x
#CHRONICLE_JOINED_ALLY_IN_WAR_2;[From.GetTitledName] supported [Root.GetTitledName] in war against [Root.GetHerHis] enemies.;[From.GetTitledName] a soutenu [Root.GetTitledName] dans la guerre contre ses ennemis.;[Root.GetTitledName] unterstützte [From.GetTitledName] im Krieg gegen [From.GetHerHis] Feinde.;;[Root.GetTitledName] apoyó a [From.GetTitledName] en la guerra contra [Root.GetHerHis] enemigos.;;;;;;;;;x
CHRONICLE_FRIENDLY_CRUSADE_STARTED;[Root.GetTitledName] declared a [Root.Religion.GetCrusadeName], wherein all [Root.Religion.GetName] lords were called to help conquer [From.GetName] from the [New.Religion.GetName] Enemy.;[Root.GetTitledName] a déclaré une [Root.Religion.GetCrusadeName], dans laquelle tous les croyants de la religion [Root.Religion.GetName] sont appelés à libérer [From.GetName] du joug de la religion [New.Religion.GetName].;[Root.GetTitledName] erklärte einen [Root.Religion.GetCrusadeName], in dem alle [Root.Religion.GetName]-Gläubigen zur Hilfe bei der Befreiung von [From.GetName] von den [New.Religion.GetName]-Gläubigen aufgerufen wurden.;;[Root.GetTitledName] declaró una [Root.Religion.GetCrusadeName], en la que todos los fieles [Root.Religion.GetName] fueron llamados para ayudar a conquistar [From.GetName] de los [New.Religion.GetName].;;;;;;;;;x
CHRONICLE_UNFRIENDLY_CRUSADE_STARTED;[Root.GetTitledName] declared a [Root.Religion.GetCrusadeName], wherein all false [Root.Religion.GetName] lords were called to conquer [From.GetName] from the [New.Religion.GetName] Enemy.;[Root.GetTitledName] a déclaré une [Root.Religion.GetCrusadeName], dans laquelle tous ceux qui ne croient pas en la religion [Root.Religion.GetName] sont appelés à libérer [From.GetName] du joug de la religion [New.Religion.GetName].;[Root.GetTitledName] erklärte einen [Root.Religion.GetCrusadeName], in dem alle ungläubigen [Root.Religion.GetName] zur Hilfe bei der Befreiung von [From.GetName] von den [New.Religion.GetName]-Gläubigen aufgerufen wurden.;;[Root.GetTitledName] declaró una [Root.Religion.GetCrusadeName], en la que todos los infieles [Root.Religion.GetName] fueron llamados a conquistar [From.GetName] de los [New.Religion.GetName].;;;;;;;;;x
CHRONICLE_CRUSADE_WON;The [From.Religion.GetCrusadeName] declared by [From.RelHead.GetDynName] ended with the successful conquest of [Root.GetName] from the [New.Religion.GetName] Enemy.;La [From.Religion.GetCrusadeName] déclarée par [From.RelHead.GetDynName] s'est terminée par la conquête de [Root.GetName] des mains des adeptes de la religion [New.Religion.GetName].;Der von [From.RelHead.GetDynName] erklärte [From.Religion.GetCrusadeName] endete mit der Befreiung von [Root.GetName] von den [New.Religion.GetName]-Gläubigen.;;La [From.Religion.GetCrusadeName] declarada por [From.RelHead.GetDynName] finalizó con la exitosa conquista de [Root.GetName] sobre los [New.Religion.GetName].;;;;;;;;;x
CHRONICLE_CRUSADE_WON_AND_I_GOT_THE_TITLE;The [From.Religion.GetCrusadeName] declared by [From.RelHead.GetDynName] ended with the successful conquest of [Root.GetName] from the [New.Religion.GetName] Enemy. [From.GetDynName] became the new [From.GetLordLady] of the conquered lands.;La [From.Religion.GetCrusadeName] déclarée par [From.RelHead.GetDynName] s'est terminée par la conquête de [Root.GetName] des mains des adeptes de la religion [New.Religion.GetName]. [From.GetDynName] est devenu le nouveau [From.GetLordLady] des terres conquises.;Der von [From.RelHead.GetDynName] erklärte [From.Religion.GetCrusadeName] endete mit der Befreiung von [Root.GetName] von den [New.Religion.GetName]-Gläubigen. [From.GetDynName] wurde neuer Herrscher der eroberten Länder.;;La [From.Religion.GetCrusadeName] declarada por [From.RelHead.GetDynName] finalizó con la exitosa conquista de [Root.GetName] de los [New.Religion.GetName]. [From.GetDynName] se ha convertido en el nuevo [From.GetLordLady] de las tierras conquistadas.;;;;;;;;;x
CHRONICLE_CRUSADE_LOST;The [From.Religion.GetCrusadeName] declared by [From.GetDynName] ended in defeat as the armies failed to conquer [Root.GetName].;La [From.Religion.GetCrusadeName] declarée par [From.GetDynName] s'est terminée par la défaite. Les armées n'ont pas conquis [Root.GetName].;Der von [From.GetDynName] erklärte [From.Religion.GetCrusadeName] endete mit einer Niederlage, da die Heere [Root.GetName] nicht zu erobern vermochten.;;La [From.Religion.GetCrusadeName] declarada por [From.GetDynName] finalizó con derrota puesto que los ejércitos no consiguieron conquistar [Root.GetName].;;;;;;;;;x
CHRONICLE_MONGOL_RUMORS;Strange rumors reached the [Player.Culture.GetName] lands, speaking of strong armies gathering in the East under the lords of the Baradhrim, with mannish warriors too numerous to count.;D'étranges rumeurs courent sur les terres de culture [Player.Culture.GetName], on parle du Grand Khan qui rassemble de puissantes armées dans les steppes orientales, avec un nombre incalculable d'hommes.;Seltsame Gerüchte erreichten die Länder von [Player.Culture.GetName]. Es ist die Rede von großen Heeren, die sich unter dem Großen Khan in den Steppen des Ostens versammeln, mit so vielen Leuten, dass man sie gar nicht zählen kann.;;Extraños rumores han llegado a tierras [Player.Culture.GetName], hablan de fuertes ejércitos concentrándose en las estepas orientales bajo el Gran Kan, con una cantidad tan grande de hombres que resulta imposible contar.;;;;;;;;;x
CHRONICLE_AZTECS_FIRST_CONTACT;Cruel elves in great ships landed in the [FromFromFrom.Holder.PrimaryTitle.GetAdjective] province of [FromFromFrom.GetName], bringing rise to much worry and rumours across Beleriand.;Des étrangers à bord d'étranges navires ont accosté sur la propriété de [FromFromFrom.GetName], en la province de [FromFromFrom.Holder.PrimaryTitle.GetName], créant un vent d'inquiétude et de rumeurs qui souffle dans les terres.;Fremdlinge in fremdartigen Schiffen landeten in [FromFromFrom.Holder.PrimaryTitle.GetAdjective] in der Provinz [FromFromFrom.GetName], was im ganzen Land Anlass zu schlimmen Gerüchten und großer Sorge gibt.;;Unos desconocidos a bordo de extraños barcos han desembarcado en la [FromFromFrom.Holder.PrimaryTitle.GetAdjective] provincia de [FromFromFrom.GetName], lo que ha hecho aumentar las preocupaciones y rumores por todo el territorio.;;;;;;;;;x
CHRONICLE_AZTEC_INVASION;A terrible scourge was unleashed upon [FromFromFrom.Holder.PrimaryTitle.GetName] as the vengeful host of the Falmari arrived from beyond the Belegaer to wreak havoc and destruction.;Un vent de terreur souffle sur [FromFromFrom.Holder.PrimaryTitle.GetName], alors que les hordes de l'Empereur aztèque arrivent de par les mers, apportant avec eux dévastation et destruction.;Eine schreckliche Plage brach über [FromFromFrom.Holder.PrimaryTitle.GetName] herein, als die Horden des Aztekenkaisers von jenseits des Meeres einfielen und Schrecken und Verwüstung verbreiteten. ;;Un terrible azote se ha desatado sobre [FromFromFrom.Holder.PrimaryTitle.GetName] cuando las hordas del Emperador Azteca llegaron de mar adentro para provocar caos y destrucción.;;;;;;;;;x
CHRONICLE_CREATED_TITLE;[Root.GetDynName] created the title of [From.GetFullName], confirming [Root.GetHerHis] growing power with much ceremony and celebration.;[Root.GetDynName] a créé le titre de [From.GetFullName], affirmant son pouvoir grandissant de façon éclatante.;[Root.GetDynName] schaffte den Titel [From.GetFullName] und bestätigte damit in einer großen festlichen Feier [Root.GetHerHis] gewachsene Macht.;;[Root.GetDynName] ha creado el título de [From.GetFullName], confirmando [Root.GetHerHis] un creciente poder con una gran ceremonia y celebración.;;;;;;;;;x
CHRONICLE_USURPED_TITLE;[Root.GetDynName] usurped the [From.GetFullName] from [FromFrom.GetDynName].;[Root.GetDynName] a usurpé le [From.GetFullName] de [FromFrom.GetDynName].;[Root.GetDynName] entriss [From.GetFullName] von [FromFrom.GetDynName].;;[Root.GetDynName] ha usurpado el [From.GetFullName] de [FromFrom.GetDynName].;;;;;;;;;x
CHRONICLE_RUNESTONE_FATHER;[Root.GetTitledName] raised a standing stone in honor of [Root.GetHerHis] father, [Root.Father.GetTitledFirstNameWithNick].;[Root.GetTitledName] a érigé une pierre runique en l'honneur de son père, [Root.Father.GetTitledFirstNameWithNick].;[Root.GetTitledName] errichtete einen Runenstein zu Ehren [Root.GetHerHis] Vaters [Root.Father.GetTitledFirstNameWithNick].;;[Root.GetTitledName] ha erigido una piedra rúnica en honor a [Root.GetHerHis] padre, [Root.Father.GetTitledFirstNameWithNick].;;;;;;;;;x
CHRONICLE_RUNESTONE_MOTHER;[Root.GetTitledName] raised a standing stone in honor of [Root.GetHerHis] mother, [Root.Mother.GetTitledFirstNameWithNick].;[Root.GetTitledName] a érigé une pierre runique en l'honneur de sa mère, [Root.Mother.GetTitledFirstNameWithNick].;[Root.GetTitledName] errichtete einen Runenstein zu Ehren [Root.GetHerHis] Mutter[Root.Mother.GetTitledFirstNameWithNick].;;[Root.GetTitledName] ha erigido una piedra rúnica en honor a [Root.GetHerHis] madre, [Root.Mother.GetTitledFirstNameWithNick].;;;;;;;;;x
CHRONICLE_RUNESTONE_GENERIC;[Root.GetTitledName] raised a standing stone in memory of [Root.GetHerselfHimself].;[Root.GetTitledName] a érigé une pierre runique en sa mémoire.;[Root.GetTitledName] errichtete einen Runenstein zum Gedenken an [Root.GetHerselfHimself].;;[Root.GetTitledName] ha erigido una piedra rúnica en memoria de [Root.GetHerselfHimself].;;;;;;;;;x
CHRONICLE_RUNESTONE_LUNATIC;[Root.GetTitledNameWithNick] raised a standing stone in memory of [Root.GetHerHis] extraordinary exploits in a flying longship.;[Root.GetTitledNameWithNick] a érigé une pierre runique à la mémoire de ses exploits extraordinaires à bord d'un drakkar volant.;[Root.GetTitledNameWithNick] errichtete einen Runenstein zum Gedenken an [Root.GetHerHis] außergewöhnlichen Heldentaten in einem schnellen Langschiff.;;[Root.GetTitledNameWithNick] ha erigido una piedra rúnica en memoria de [Root.GetHerHis] extraordinarias hazañas a bordo de un drakkar volador.;;;;;;;;;x
